Commune,Id
Dcheira,1
Foum El Oued,2
Akhfennir,3
Daoura,4
El Hagounia,5
Tah,6
Es Semara,7
Tichla,16
Amgala,8
Dakhla,19
Haouza,9
Jdiriya,10
Sidi Ahmed Laaroussi,11
Bir Anzarane,20
Tifariti,12
Lagouira,13
Aghouinite,14
Imlili,25
Aousserd,15
Boujdour,26
Zoug,17
Bir Gandouz,18
Gleibat El Foula,21
Jraifia,28
Mijik,22
Lamssid,29
Oum Dreyga,23
El Argoub,24
Gueltat Zemmour,27
El Marsa,30
Laâyoune,31
El Ouatia,37
Tarfaya,32
Boukraa,33
Chbika,42
Targa Wassay,34
Tizounine,50
Tiglit,35
Tan Tan,36
Msied,38
Tilemzoun,39
Abteh,40
Ben Khlil,41
Akka,43
Allougoum,53
Fam El Hisn,44
Foum Zguid,45
Taghjijt,68
Tata,46
Ait Melloul,120
Ait Ouabelli,47
Kasbat Sidi Abdellah Ben M'barek,48
Inezgane,121
Tamanarte,49
Aguinane,51
Akka Ighane,52
Assa,54
Zag,55
Aouint Lahna,56
Aouint Yghomane,57
Asrir,72
Touizgui,58
Al Mahbass,59
Echatea El Abied,73
Labouirat,60
Bouizakarne,61
Guelmim,62
Aday,63
Rass Oumlil,77
Ait Boufoulen,64
Agadir,80
Amtdi,65
Ifrane Atlas Saghir,66
Layayda,633
Tagante,67
Timoulay,69
Drargua,85
Abaynou,70
Aferkat,71
Fask,74
Labyar,75
Imouzzer,87
Laqsabi Tagoust,76
Taliouine Assaka,78
Imsouane,88
Tizaghte,79
Amskroud,81
Aourir,82
Aqesri,83
Aziar,84
Idmine,86
Hilala,89
Ida Ougnidif,90
Oum El Guerdane,105
Tadrart,91
Taghazout,92
Tamri,93
Tiqqi,94
Ait Baha,95
Biougra,96
Ait Mzal,97
Ait Ouadrim,98
Aouguenz,99
Ibn Yacoub,100
Tissint,101
Tlite,102
Adis,103
Issafen,104
Tagmout,106
Tigzmerte,107
Sidi Abdallah El Bouchouari,108
Tanalt,109
Inchaden,110
Massa,111
Ouad Essafa,115
Sidi Ouassay,112
Ait Amira,113
Imi Mqourn,114
Sidi Bibi,116
Tinghir,117
Ait Zineb,118
Sidi Boushab,119
Lqliâa,122
Oulad Dahou,123
Temsia,124
Boumalne Dades,125
Kalaat M'gouna,126
Ouarzazate,127
Taznakht,128
Ouisselsate,157
Targua Ntouchka,129
Tabriquet,634
Tassegdelt,130
Tizi Ntakoucht,131
Tarmigt,178
Ait Milk,132
Belfaa,133
Tidli,134
Ait El Farsi,135
Bni Bataou,337
Ait Ouassif,136
Ait Iaaza,180
Ait Sedrate Jbel El Oulia,137
Chougrane,340
Ait Sedrate Jbel El Soufla,138
Shoul,635
Ait Sedrate Sahl Charkia,139
Rouached,342
Ait Sedrate Sahl El Gharbia,140
El Guerdane,181
Taghzoute N'ait Atta,141
Bir Mezoui,344
Tilmi,142
Ain Tizgha,350
Toudgha El Oulia,143
Fdalate,351
Toudgha Essoufla,144
Oulad Berhil,183
Ghassate,145
Ait Youl,146
Ighil N'oumgoun,147
Mellila,352
Ikniouen,148
Imider,149
Oulad Abdoune,358
M'semrir,150
Ras El Ain,479
Ouaklim,151
El Jadida,676
Souk Lakhmis Dades,152
Haouzia,681
Amerzgane,153
Aznaguen,154
Ighrem N'ougdal,155
Khouzama,156
Siroua,158
Telouet,159
Idelsane,160
Imi N'oulaoune,161
Ait Abdallah,162
Amalou,163
Azaghar N'irs,164
Imaouen,165
Sidi Chiker,480
Imi N'tayart,166
Ait Oum El Bekht,483
Tindine,167
Tisfane,168
Ben Ahmed,360
Toufelaazt,169
Loulad,364
Toumliline,170
Oulad M'hamed,370
Nihit,171
Ras El Ain Chaouia,371
Oualqadi,172
Mniaa,375
Sidi Boaal,173
Sidi Mzal,174
Laghdira,682
Tabia,553
M'garto,377
Tataoute,176
Skoura Ahl El Oust,177
Toundoute,179
Irherm,182
Boulaouane,717
Oulad Teima,184
Taliouine,185
Taroudannt,186
Adar,187
Bouarg,1031
Igli,188
Sidi Abdellah Ou Said,194
Igoudar Mnabha,189
Sidi Ali Ben Hamdouche,744
Lamhara,190
Bni Smir,383
Oulad Aissa,746
Braksa,384
Ouneine,192
Moulay Abdallah,745
Ouzioua,193
Toughmart,195
Ahl Ramel,196
Oulad Boughadi,389
Sidi Ouaaziz,197
Tafingoult,198
Oulad Fennane,390
Talgjount,199
Zaouiat Sidi Ben Hamdoun,392
Tigouga,200
Dar Chaffai,395
Tinzart,201
Sidi Moussa Lhamri,215
Tisrasse,202
Tizi N'test,203
Aoulouz,204
Mirleft,266
Arazane,205
El Faid,206
Ida Ou Gailal,207
Sbouya,267
Ida Ougoummad,208
Arbaa Sahel,285
Argana,209
Assads,210
Lamhadi,211
Tansifte,304
Machraa El Ain,212
M'hamid El Ghizlane,316
Sidi Ahmed Ou Amar,213
Ziaida,324
Sidi Boumoussa,214
Bir Ennasr,325
Talmakante,216
El Mansouria,326
Tidsi Nissendalene,217
Iguidi,218
Sidi Hsaine,219
Agadir Melloul,220
Ahl Tifnoute,221
Askaouen,222
Assaisse,223
Assaki,224
Azrar,225
Bigoudine,226
Eddir,227
Sidi Bettache,327
El Koudia El Beida,228
Cherrat,328
Imilmaiss,229
Jaqma,400
Issen,230
Kasbat Ben Mchich,401
Lagfifat,231
Ouled Cebbah,403
Lakhnafif,232
Ouled Zidane,404
Zagmouzen,233
Ahmar Laglalcha,234
Ait Igas,235
Ait Makhlouf,236
Lamnizla,237
Sidi Ahmed Ou Abdallah,238
Sidi Borja,239
Bounrar,240
Freija,241
Ain Nzagh,406
Ida Ou Moumen,242
Imoulass,243
Taouyalte,244
Tassousfi,245
Tizgzaouine,246
Toubkal,247
Sidi Dahmane,248
Tafraouten,249
Tiznit,250
Bejaad,329
Ait Issafen,251
Anzi,252
Sidi Bouknadel,636
Arbaa Ait Ahmed,253
Ida Ou Gougmar,254
Sidi Ahmed Ou Moussa,255
Oulad Ghanem,747
Tangarfa,256
Tioughza,257
Tnine Amellou,258
Tafraout El Mouloud,259
Bni Yagrine,407
Tighmi,260
Gdana,408
Tizoughrane,261
Tnine Aday,262
Arbaa Ait Abdellah,263
Guisser,409
Imi N'fast,264
Mesti,265
Tamaloukte,268
Tazemmourt,269
Tiout,270
Oulad Hcine,748
Zaouia Sidi Tahar,271
Khémisset Chaouia,410
Lakhsas,272
Sidi Ifni,273
Tafraout,274
Hattane,331
Tighirt,275
Afella Ighir,276
Ait Ouafqa,277
Ammelne,278
Irigh N'tahala,279
Machraa Ben Abbou,412
El Maader El Kabir,280
Ouijjane,281
Mzoura,413
Tarsouat,282
Tassrirt,283
Arbaa Rasmouka,284
Bounaamane,286
Oulad Aafif,414
Ait Erkha,287
Anfeg,288
Oulad Said,415
Boutrouch,289
Oulad Sghir,416
Ibdar,290
Sebt Ennabour,291
Sidi Mohammed Ben Rahal,419
Sidi Abdallah Ou Belaid,292
Deroua,425
Sidi H'saine Ou Ali,293
Sidi M'bark,294
Reggada,295
Sidi Bouabdelli,296
Tnine Aglou,297
Agdz,298
Sidi Hajjaj,429
Mezguita,299
Ben Maachou,430
N'kob,300
Laghnimyine,431
Oulad Yahia Lagraire,301
Taghbalte,302
Tamezmoute,303
Sidi Abed,749
Taftechna,305
Sahel Oulad H'riz,434
Tagounite,306
Tamegroute,307
Sidi Rahal Chatai,437
Ternata,308
Tazarine,1403
Bleida,310
Bni Zoli,311
Toualet,439
Bouzeroual,312
Dir El Ksiba,485
Errouha,313
Lamaachate,490
Fezouata,314
Ktaoua,315
Zagora,317
Afella N'dra,318
Oulad Salmane,495
Afra,319
El Beddouza,501
Ait Boudaoud,320
Ait Ouallal,1125
Oulad Yahya Louta,322
Rdadna Oulad Malek,323
Boujniba,330
Oued Zem,333
Khouribga,332
Boulanouare,334
Lagfaf,335
Ain Kaicher,336
Bni Zrantel,338
Boukhrisse,339
Oulad Gouaouch,341
Tachrafat,343
Bni Ykhlef,345
Tinzouline,346
Benslimane,347
Bouznika,348
Ahlaf,349
Moualine El Ghaba,353
Moualine El Oued,354
Oulad Ali Toualaa,355
Hrara,502
El Foqra,356
Bouznika Beach,518
M'fassis,357
Oulad Ftata,359
Azilal,504
Berrechid,361
Bni Oukil,507
El Borouj,362
El Gara,363
Oulad Abbou,365
Oulad M'rah,366
Ait Ourir,440
Settat,367
Sidi Abdallah Ghiat,462
Ain Dorbane,368
Oulad Fares,369
Bouguargouh,372
Lahlaf M'zab,373
El Gantour,473
Lakhzazra,374
Mrizigue,376
N'khila,378
Oued Naanaa,379
Oulad Chbana,380
Oulad Azzouz,381
Ait Ammar,382
Kasbat Troch,385
Lagnadiz,386
Maadna,387
Soualem,391
Ain Blal,393
Bni Khloug,394
Laqraqra,396
Meskoura,397
Oulad Amer,398
Foqra Oulad Aameur,399
Lambarkiyine,402
Riah,405
Lahouaza,411
Rima,417
Sidi El Aidi,418
Oulad Bouali Nouaja,420
Oulad Fares El Halla,421
Oulad Freiha,422
Sidi Ahmed El Khadir,423
Sidi Boumehdi,424
Sgamna,426
Sidi Abdelkrim,427
Sidi Dahbi,428
Lahsasna,432
Lakhiaita,433
Sidi Abdelkhaleq,435
Sidi El Mekki,436
Tamadroust,438
Tamaguert,441
Tamazouzte,442
Tazart,443
Tidili Mesfioua,444
Tighedouine,445
Touama,446
Zerkten,447
Lalla Takarkoust,448
Ouazguita,449
Amghras,450
Ighoud,475
Amizmiz,451
Jdour,476
Anougal,452
Jnane Bouih,477
Azgour,453
Dar Jamaa,454
Abadou,455
Ait Aadel,456
Ait Faska,457
Ait Hkim Ait Yzid,458
Ait Sidi Daoud,459
Ghmate,460
Iguerferouane,461
Sidi Yacoub,463
Tidili Fetouaka,464
Had Boumoussa,465
Oulad Bourahmoune,466
Sidi Aissa,467
Mettouh,525
Sidi Ettiji,468
Oulad Nacer,469
Oulad Zmam,470
Sidi Aissa Ben Ali,471
Atiamim,472
Esbiaat,474
Lakhoualqa,478
Sidi Hammadi,481
Bradia,508
Aghbala,482
Boutferda,484
Atouabet,486
El Ghiate,487
Khatazakane,488
Laamamra,489
Foum El Anceur,491
Naour,492
Krifate,512
Taghzirt,493
Oulad Hamdane,527
Nagga,494
Saadla,496
Oulad Sidi Ali Ben Youssef,528
Ayir,497
Tanougha,498
Semguet,516
Tizi N'isly,499
Dar Si Aissa,500
Moul El Bergui,503
Al Khalfia,505
Bni Chegdale,506
Demnate,509
Agoudi N'lkhair,510
Hel Merbaa,511
Guettaya,513
Oulad Youssef,514
Oulad Said L'oued,515
Tamensourte,517
Ait Abbas,519
Si Hsaien Ben Abderrahmane,531
Ait Bou Oulli,520
Lgharbia,550
Ait M'hamed,521
Tabant,522
Loualidia,551
Tamda Noumercid,523
Saniat Berguig,560
Zaouiat Ahansal,524
Mogress,526
Oulad Frej,529
Sebt Saiss,530
Sidi Smail,532
Ait Taguella,533
Safi,561
Bni Ayat,534
Bni Hassane,535
Tifni,536
Afourar,537
Harhoura,638
Ait Mazigh,538
Zaouiat Saiss,539
Zaouiat Lakouacem,540
Bzou,541
Loulja,1367
Foum Jemaa,542
Skhirate,639
Moulay Aissa Ben Driss,543
Bouhmame,753
Ait Ouaarda,544
Oumazza,1540
Ait Ouqabli,545
Sidi Yahya Zaër,643
Anergui,546
Sidi Kaouki,649
Bin El Ouidane,547
Smimou,650
Isseksi,548
El Ksiba,569
Laghnadra,549
Rfala,552
Tafedna,651
Tanant,554
Ouaouizeght,555
Sebt Gzoula,572
Tabaroucht,556
Labkhati,581
Tagleft,557
Tiffert N'ait Hamza,558
Imlil,585
Oulad Sbaita,559
Echemmaia,562
Bouzemmour,605
Taounza,563
Ezzaouite,606
Tisqi,564
Ida Ou Aazza,607
Ait Blal,565
Agdal Riyad,611
Tilougguite,566
El Youssoufia,612
Timoulilt,567
Béni Mellal,568
Fquih Ben Salah,570
Jamaat Shaim,571
Hassan,613
Youssoufia,573
Ait Majden,574
Ait Oumdis,575
Kasba Tadla,576
Oulad Ayad,577
Souissi,614
Souk Sebt Oulad Nemma,578
Sidi Ghanem,766
Bouguedra,579
El Gouraani,580
Lahdar,582
Ait Tamlil,583
Ida Ou Kazzou,622
Anzou,584
Zaouiat Cheikh,586
Imgrade,623
Foum Oudi,587
Oulad Gnaou,588
Imi N'tlit,624
Oulad M'barek,589
Oulad Yaich,590
Lamrasla,591
Lamsabih,592
Ouaoula,593
Sidi Ahmed Essayeh,625
Sidi Boulkhalf,594
Sidi Jaber,595
Dar Ould Zidouh,596
Souk Tlet El Gharb,961
Khemis Sidi Yahya,597
M'qam Tolba,598
Nfifa,599
Oued L'bour,600
Taouzint,601
Sidi El Jazouli,626
Znada,602
Bab Lamrissa,630
Assahrij,603
Bettana,631
Bizdad,604
Sidi Abderrazak,608
Sidi Boukhalkhal,609
Sidi Allal El Bahraoui,610
Timezgadiouine,616
Adassil,617
Bouya Omar,618
Choara,619
Hssaine,632
Dzouz,620
Ida Ou Guelloul,621
Sidi Ghaneme,627
Touarga,628
Yacoub El Mansour,629
Ain El Aouda,637
Témara,640
El Menzeh,641
Assif El Mal,644
Fraita,645
Jbiel,646
Sidi H'mad Ou M'barek,647
Sidi Hmad Ou Hamed,648
Ain Attig,652
Sabbah,653
Douirane,654
Gmassa,655
Majjat,657
Imindounit,656
M'zouda,658
Laattaouia Ech-Chaybia,662
Zaouia Annahlia,659
Jouala,660
Laatamna,1010
Tahelouante,663
Takoucht,664
Targante,665
Tidzi,666
Timizguida Ouftas,667
Méchouar Kasba,668
Annakhil,669
Gueliz,670
Marrakech Médina,671
Ménara,672
Sidi Youssef Ben Ali,673
Alouidane,674
Azemmour,675
Lbir Jdid,677
Sidi Bennour,678
Zemamra,679
Chtouka,680
Lamharza Essahel,683
Bouabout,684
Bouabout Amdlane,685
Ichamraren,686
Loued Lakhdar,687
M'zem Sanhaja,688
Ouled Dlim,694
Ouargui,689
Harbil,690
M'nabha,691
Laaounate,699
Ouahat Sidi Brahim,692
Oulad Hassoune,693
Laatatra,700
Agafay,695
Kridid,696
Laagagcha,697
Laamria,698
Kouzemt,701
Rahhala,702
Oulad Aarrad,703
Oulad Khallouf,704
Loudaya,707
Sidi Aissa Ben Slimane,705
Ait Imour,706
Saada,708
Oulad Amrane,713
Sid Zouine,709
Lmechrek,710
Metrane,711
M'tal,712
Oulad Boussaken,714
Oulad Si Bouhya,715
Tamda,716
Chaibate,718
Sidi Abdelmoumen,719
Taouloukoult,720
Sour El Aaz,721
Zemrane Charqia,723
Zemrane,722
Ait Hammou,724
Ait Taleb,725
Bouchane,726
Anfa,731
Jaafra,727
Labrikiyne,728
Souihla,729
Oulad Rahmoune,743
Tassoultante,730
El Maarif,732
Sidi Belyout,733
Al-Fida,734
Mers Sultan,735
Aîn Sebaâ,736
Assoukhour Assawda,737
Hay Mohammadi,738
Hay-Hassani,739
Aîn Chock,740
Sidi Bernoussi,741
Sidi Moumen,742
Sidi M'hamed Akhdim,750
Bni Hilal,751
Bni Tsiriss,752
Jabria,754
Khmis Ksiba,755
Koudiat Bni Dghough,756
El Kelaâ des Sraghna,759
Timlilt,757
Ben Guerir,758
Laattaouia,760
Oulad Hassoune Hamri,763
Sidi Rahhal,761
Sidi Abdallah,764
Oulad Aamer Tizmarine,762
Sidi Ali Labrahla,765
Sidi Mansour,767
Skhour Rhamna,768
Skoura Lhadra,769
Tamallalt,776
Akarma,770
Ben M'sick,771
Sbata,772
Moulay Rachid,773
Oulad Mtaa,774
Sidi Badhaj,775
Chtaiba,777
Eddachra,778
Bourrous,779
Jaidate,780
Lamharra,781
Sidi Othmane,782
Méchouar de Casablanca,783
Lahraouyine,798
Mediouna,784
